x,f(x),L(x),E(x)
-1.000000000000e+00,3.678794411714e-01,3.678794411714e-01,0.000000000000e+00
-9.797979797980e-01,3.753869269346e-01,3.698998704637e-01,5.487056470805e-03
-9.595959595960e-01,3.830476214290e-01,3.723635856533e-01,1.068403577579e-02
-9.393939393939e-01,3.908646512563e-01,3.752705867400e-01,1.559406451633e-02
-9.191919191919e-01,3.988412068237e-01,3.786208737239e-01,2.022033309981e-02
-8.989898989899e-01,4.069805436468e-01,3.824144466050e-01,2.456609704173e-02
-8.787878787879e-01,4.152859836778e-01,3.866513053834e-01,2.863467829440e-02
-8.585858585859e-01,4.237609166617e-01,3.913314500589e-01,3.242946660275e-02
-8.383838383838e-01,4.324088015195e-01,3.964548806317e-01,3.595392088779e-02
-8.181818181818e-01,4.412331677600e-01,4.020215971016e-01,3.921157065834e-02
-7.979797979798e-01,4.502376169203e-01,4.080315994688e-01,4.220601745154e-02
-7.777777777778e-01,4.594258240359e-01,4.144848877332e-01,4.494093630275e-02
-7.575757575758e-01,4.688015391402e-01,4.213814618948e-01,4.742007724548e-02
-7.373737373737e-01,4.783685887955e-01,4.287213219535e-01,4.964726684191e-02
-7.171717171717e-01,4.881308776542e-01,4.365044679095e-01,5.162640974464e-02
-6.969696969697e-01,4.980923900531e-01,4.447308997627e-01,5.336149029033e-02
-6.767676767677e-01,5.082571916390e-01,4.534006175131e-01,5.485657412582e-02
-6.565656565657e-01,5.186294310282e-01,4.625136211608e-01,5.611580986749e-02
-6.363636363636e-01,5.292133415001e-01,4.720699107056e-01,5.714343079448e-02
-6.161616161616e-01,5.400132427240e-01,4.820694861476e-01,5.794375657637e-02
-5.959595959596e-01,5.510335425231e-01,4.925123474868e-01,5.852119503626e-02
-5.757575757576e-01,5.622787386730e-01,5.033984947233e-01,5.888024394972e-02
-5.555555555556e-01,5.737534207374e-01,5.147279278569e-01,5.902549288052e-02
-5.353535353535e-01,5.854622719415e-01,5.265006468878e-01,5.896162505376e-02
-5.151515151515e-01,5.974100710831e-01,5.387166518158e-01,5.869341926731e-02
-4.949494949495e-01,6.096016944832e-01,5.513759426411e-01,5.822575184213e-02
-4.747474747475e-01,6.220421179761e-01,5.644785193636e-01,5.756359861255e-02
-4.545454545455e-01,6.347364189403e-01,5.780243819832e-01,5.671203695704e-02
-4.343434343434e-01,6.476897783706e-01,5.920135305001e-01,5.567624787049e-02
-4.141414141414e-01,6.609074829929e-01,6.064459649142e-01,5.446151807872e-02
-3.939393939394e-01,6.743949274218e-01,6.213216852255e-01,5.307324219624e-02
-3.737373737374e-01,6.881576163619e-01,6.366406914340e-01,5.151692492793e-02
-3.535353535354e-01,7.022011668555e-01,6.524029835397e-01,4.979818331572e-02
-3.333333333333e-01,7.165313105738e-01,6.686085615426e-01,4.792274903114e-02
-3.131313131313e-01,7.311538961573e-01,6.852574254428e-01,4.589647071456e-02
-2.929292929293e-01,7.460748916024e-01,7.023495752401e-01,4.372531636228e-02
-2.727272727273e-01,7.613003866969e-01,7.198850109346e-01,4.141537576223e-02
-2.525252525253e-01,7.768365955059e-01,7.378637325264e-01,3.897286297949e-02
-2.323232323232e-01,7.926898589077e-01,7.562857400153e-01,3.640411889241e-02
-2.121212121212e-01,8.088666471821e-01,7.751510334015e-01,3.371561378059e-02
-1.919191919192e-01,8.253735626505e-01,7.944596126849e-01,3.091394996562e-02
-1.717171717172e-01,8.422173423711e-01,8.142114778654e-01,2.800586450570e-02
-1.515151515152e-01,8.594048608885e-01,8.344066289432e-01,2.499823194530e-02
-1.313131313131e-01,8.769431330391e-01,8.550450659182e-01,2.189806712090e-02
-1.111111111111e-01,8.948393168144e-01,8.761267887904e-01,1.871252802399e-02
-9.090909090909e-02,9.131007162823e-01,8.976517975598e-01,1.544891872248e-02
-7.070707070707e-02,9.317347845682e-01,9.196200922264e-01,1.211469234180e-02
-5.050505050505e-02,9.507491268969e-01,9.420316727902e-01,8.717454106739e-03
-3.030303030303e-02,9.701515036966e-01,9.648865392512e-01,5.264964445418e-03
-1.010101010101e-02,9.899498337660e-01,9.881846916094e-01,1.765142156610e-03
1.010101010101e-02,1.010152197507e+00,1.011926129865e+00,-1.773932358331e-03
3.030303030303e-02,1.030766840220e+00,1.036110854018e+00,-5.344013797562e-03
5.050505050505e-02,1.051802175474e+00,1.060738864067e+00,-8.936688593558e-03
7.070707070707e-02,1.073266788535e+00,1.085810160014e+00,-1.254337147923e-02
